医療機関名称,郵便番号,住所
医療法人社団白慈会　白金坂の上診療所,108-0071,東京都港区白金台４－７－８ストーリア白金２階
医療法人社団千和会　白金タワークリニック,108-0072,東京都港区白金１－１７－１
医療法人社団勝優会　たまちホームクリニック,108-0073,東京都港区三田３－１－４Ｎｅｔ．１三田ビル１階
五良会クリニック白金高輪,108-0074,東京都港区高輪１－３－１プレミストタワー白金高輪１Ｆ
白金高輪駅前内科糖尿病クリニック,108-0074,東京都港区高輪１－４－１３－２階
医療法人社団　暁心会　品川ハートメディカルクリニック,108-0074,東京都港区高輪２－１５－１１高輪ホワイトマンション１階
城南高輪クリニック,108-0074,東京都港区高輪３－５－２０－１Ｆ
医療法人社団　康寿会　堀産婦人科,108-0074,東京都港区高輪３－７－８
一般財団法人　ライフ・プランニング・センター　日野原記念クリニック,108-0074,東京都港区高輪４－１０－８京急第７ビル２Ｆ
品川シーズンテラス健診クリニック,108-0075,東京都港区港南１－２－７０品川シーズンテラス５Ｆ
品川ストリングスクリニック,108-0075,東京都港区港南２－１６－１品川イーストワンタワー３Ｆ　３０７－Ａ
医療法人社団　同友会　品川クリニック,108-0075,東京都港区港南２－１６－３品川グランドセントラルタワー１階
一般財団法人　健康予防医学財団　みなと健診クリニック,108-0075,東京都港区港南２－５－３オリックス品川ビル２Ｆ
ワールドシティ益子クリニック,108-0075,東京都港区港南４－６－７キャピタルタワー３階
医療法人社団佳有会　品川イーストクリニック,108-6102,東京都港区港南２－１５－２品川インターシティＢ棟２階
医療法人社団　せいおう会　鶯谷健診センター,110-0003,東京都台東区根岸２－１９－１９
一般社団法人　オリエンタル労働衛生協会東京支部　オリエンタル上野健診センター,110-0005,東京都台東区上野１－２０－１１
上野御徒町桜十字クリニック,110-0005,東京都台東区上野３－２１－５ＢＩＮＯ御徒町５Ｆ
東京ビジネスクリニック　エキュート上野,110-0005,東京都台東区上野７－１－１　ＪＲ東日本上野駅３Ｆエキュート上野
医療法人社団　光峰会　おのだ医院,111-0024,東京都台東区今戸１－３－１３－２０１
医療法人社団哺育会　浅草病院,111-0024,東京都台東区今戸２－２６－１５
浅草のもとクリニック,111-0032,東京都台東区浅草３－７－７アルファホームズ浅草１０１号室
医療法人社団　康裕会　浅草クリニック,111-0032,東京都台東区浅草４－１１－６
医療法人社団　吹明会　浅草きずなクリニック,111-0032,東京都台東区浅草６－９－２コレクションホースロード２Ｆ
医療法人社団ルーチェ会　Ｂｅｎｅ浅草健診クリニック,111-0033,東京都台東区花川戸１－４－１浅草ＥＫＩＭＩＳＥ７階
医療法人社団　英恵会　山田英明下町クリニック,111-0035,東京都台東区西浅草３－１６－６岩岡ビル１階
医療法人社団まこと会　服部医院,111-0041,東京都台東区元浅草３－４－７
四丁目クリニック,111-0041,東京都台東区元浅草４－６－４大塚ビル２Ｆ
蔵前まえだクリニック,111-0042,東京都台東区寿１－２－３ＡＴビル３階
あさくさ田原町内科クリニック,111-0042,東京都台東区寿２－１０－１１ＭＳ田原町ビル２Ｆ
医療法人社団　進興会　東プラ健診クリニック,111-0052,東京都台東区柳橋１－１－４東プラ健保会館２階
江戸通り　おだ内科・皮フ科,111-0052,東京都台東区柳橋１－２０－４深代ビル３階
公益財団法人ライフ・エクステンション研究所　付属　永寿総合病院柳橋分院,111-0052,東京都台東区柳橋２－２０－４
医の森クリニック　浅草橋　健診センター,111-0053,東京都台東区浅草橋１－３０－９ヒューリック浅草橋江戸通４階
ぎょうとく内科・内視鏡クリニック,111-0053,東京都台東区浅草橋３－１－９浅草橋金子ビル２階
医療法人社団　佐藤整形外科,111-0055,東京都台東区三筋１－７－３メゾン・ド佐藤４Ｆ
医療法人社団　翔健会　くろだ医院,112-0001,東京都文京区白山５－３６－９白山麻の実ビル２Ｆ
医療法人社団　同友会,112-0002,東京都文京区小石川１－１２－１６
文京ガーデン女性クリニック,112-0002,東京都文京区小石川１－１－７文京ガーデンセンターテラス２０３
小石川循環器内科クリニック,112-0002,東京都文京区小石川２－２４－１４
医療法人社団　弘寿会　小石川ホームクリニック,112-0002,東京都文京区小石川４－２０－１イトークリエイト小石川ビル３Ｆ
医療法人社団　健永いずみ会　岩瀬クリニック,112-0006,東京都文京区小日向４－６－１５茗荷谷駅ビル４Ｆ
医療法人社団　春日会　伝通院クリニック,112-0006,東京都文京区小日向４－６－１８ステラメゾン茗荷谷２０１
せんごく駅前クリニック,112-0011,東京都文京区千石１－２６－７－１０１
医療法人栄仁会　みらいメディカルクリニック茗荷谷,112-0012,東京都文京区大塚１－４－１５アトラスタワー茗荷谷２０２
医療法人社団護友会　友成第二医院,112-0012,東京都文京区大塚５－４０－１８友成フォーサイトビル１Ｆ
文京クリニック,113-0022,東京都文京区千駄木１－２３－３カーサリーナ千駄木２Ｆ
エミング千駄木クリニック,113-0022,東京都文京区千駄木３－４２－１６－２階
ダイナメディカル根津クリニック,113-0031,東京都文京区根津２－１４－９ダイナシティ文京根津１Ｆ
一般財団法人　近藤記念医学財団富坂診療所,113-0033,東京都文京区本郷１－３３－９
心陽クリニック,113-0033,東京都文京区本郷２－２９－３ＵＫ’Ｓビル３階
医療法人社団　七星会　カスガメディカルクリニック,113-0033,東京都文京区本郷４－２４－８春日タワービル３Ｆ
本郷耳鼻咽喉科クリニック,113-0033,東京都文京区本郷４－２－８フローラビルディング２Ｆ
御茶ノ水ファミリークリニック,113-0034,東京都文京区湯島１－９－１４プチモンドお茶の水８階
医療法人社団　聖桐会　御茶ノ水聖橋クリニック,113-0034,東京都文京区湯島１－９－１５茶州ビル２Ｆ
医療法人社団　廣和会　中島クリニック,114-0001,東京都北区東十条３－１－１４－１Ｆ
明理会中央総合病院,114-0001,東京都北区東十条３－２－１１
医療法人社団慈光会　八木病院,114-0001,東京都北区東十条４－１４－８
東十条ホープ内科・循環器内科クリニック,114-0001,東京都北区東十条４－６－１７
おおたけ整形外科・内科,114-0002,東京都北区王子１－８－１王子パークビル６階
白報会王子病院,114-0002,東京都北区王子２－１４－１３
としま町クリニック,114-0003,東京都北区豊島５－５－５－１０７
鈴木医院,114-0014,東京都北区田端１－１０－５
こまごめ内科・循環器内科クリニック,114-0014,東京都北区田端４－３－２山積ビル１Ｆ
さくらクリニック,114-0021,東京都北区岸町１－３－１伯清王子ビル３Ｆ
医療法人社団　健診会　東京メディカルクリニック,114-0023,東京都北区滝野川６－１４－９
西すがも滝野川内科・内視鏡クリニック,114-0023,東京都北区滝野川７－４０－７コンフォートレジデンス１０１
板橋医院,114-0023,東京都北区滝野川７－８－１２
医療法人社団　健風会　奥田クリニック,114-0023,東京都北区滝野川７－８－１ラフィネジュ板橋駅前１Ｆ
おひさまクリニック　小児科・耳鼻咽喉科,114-0034,東京都北区上十条１－１９－８
医療法人社団　十条銀座診療所,114-0034,東京都北区上十条２－３０－４
北本通り内科クリニック,115-0042,東京都北区志茂５－４－７メゾンダジュール１階
医療法人社団　ＡＴ　たむら内科クリニック,115-0043,東京都北区神谷２－２５－４
医療法人社団コンパス　コンパス内科歯科クリニック赤羽,115-0044,東京都北区赤羽南１－１９－１０プリミエール藤田１Ｆ
赤羽牧洋記念クリニック,115-0045,東京都北区赤羽１－１１－２
医療法人社団景星会赤羽　赤羽東口病院,115-0045,東京都北区赤羽１－３８－５
医療法人社団　生栄会　赤羽台診療所,115-0053,東京都北区赤羽台１－５－２２
医療法人社団　久悠眞会　山本医院,116-0001,東京都荒川区町屋４－８－４
医療法人社団美誠会　荒川病院,116-0001,東京都荒川区町屋８－２０－３
医療法人社団　久木留医院,116-0003,東京都荒川区南千住６－５３－８
もりのひと心の医療科クリニック,116-0011,東京都荒川区西尾久２－２－５
医療法人社団　俊和会　日暮里健診プラザ,116-0013,東京都荒川区西日暮里２－２０－１ステーションポートタワー４Ｆ
医療法人社団　ミレナ会　日暮里内科・糖尿病内科クリニック,116-0013,東京都荒川区西日暮里２－２６－１２ガーネットビル２Ｆ
小林医院,116-0013,東京都荒川区西日暮里４－１６－１０
医療法人社団　小山内科医院,116-0014,東京都荒川区東日暮里１－５－１０－３Ａ
社会福祉法人　上宮会　日暮里上宮病院,116-0014,東京都荒川区東日暮里２－２９－８
髙井医院,116-0014,東京都荒川区東日暮里４－２６－７
医療法人社団光忍会　みかわしまタワークリニック,116-0014,東京都荒川区東日暮里６－１－１アトラスブランズタワー三河島２階
医療法人財団　ひこばえ会　セツルメント診療所,120-0003,東京都足立区東和４－２０－７
医療法人財団　ひこばえ会　セツルメント診療所分院,120-0003,東京都足立区東和４－２４－１６
